Date,Adj Close,Close,High,Low,Open,Volume
,KSCL.NS,KSCL.NS,KSCL.NS,KSCL.NS,KSCL.NS,KSCL.NS
2010-01-04,43.52794647216797,48.75,49.400001525878906,46.34000015258789,46.34000015258789,111410
2010-01-05,42.563629150390625,47.66999816894531,49.540000915527344,47.11000061035156,48.79999923706055,206100
2010-01-06,42.09041213989258,47.13999938964844,47.68000030517578,47.02000045776367,47.29999923706055,59050
2010-01-07,42.90291213989258,48.04999923706055,48.400001525878906,47.220001220703125,48.0,49585
2010-01-08,42.617210388183594,47.72999954223633,48.790000915527344,47.34000015258789,48.790000915527344,30205
2010-01-11,44.17974853515625,49.47999954223633,51.79999923706055,48.0,48.779998779296875,188555
2010-01-12,46.65302276611328,52.25,54.68000030517578,49.599998474121094,49.869998931884766,1492555
2010-01-13,46.911964416503906,52.540000915527344,53.939998626708984,51.380001068115234,52.20000076293945,310230
2010-01-14,47.456626892089844,53.150001525878906,54.0,52.79999923706055,52.79999923706055,159540
2010-01-15,47.813777923583984,53.54999923706055,55.060001373291016,53.060001373291016,53.619998931884766,356865
2010-01-18,48.617374420166016,54.45000076293945,54.880001068115234,53.599998474121094,53.599998474121094,118870
2010-01-19,47.51911926269531,53.220001220703125,55.599998474121094,52.869998931884766,54.599998474121094,156110
2010-01-20,46.786964416503906,52.400001525878906,54.400001525878906,52.0,54.380001068115234,81285
2010-01-21,45.456565856933594,50.90999984741211,52.79999923706055,50.060001373291016,52.400001525878906,41065
2010-01-22,47.295902252197266,52.970001220703125,54.400001525878906,45.0099983215332,50.29999923706055,283020
2010-01-25,48.465576171875,54.279998779296875,55.0,50.25,53.0,71050
2010-01-27,44.32260513305664,49.63999938964844,54.279998779296875,49.0,54.279998779296875,80705
2010-01-28,46.59944534301758,52.189998626708984,52.79999923706055,48.02000045776367,50.83000183105469,152420
2010-01-29,46.983394622802734,52.619998931884766,53.0,50.79999923706055,51.0,50025
2010-02-01,50.751346588134766,56.84000015258789,57.79999923706055,52.20000076293945,52.20000076293945,265455
2010-02-02,49.00129699707031,54.880001068115234,58.540000915527344,54.56999969482422,58.0,127890
2010-02-03,49.11738204956055,55.0099983215332,56.20000076293945,53.099998474121094,55.0,136205
2010-02-04,49.2691764831543,55.18000030517578,57.0,54.0,54.400001525878906,123820
2010-02-05,46.59944534301758,52.189998626708984,55.72999954223633,51.31999969482422,54.0,86355
2010-02-08,46.858394622802734,52.47999954223633,54.0,52.25,53.58000183105469,21215
2010-02-09,50.62635040283203,56.70000076293945,61.13999938964844,53.0,53.0,1060235
2010-02-10,50.162044525146484,56.18000030517578,59.7599983215332,55.20000076293945,57.0,230520
2010-02-11,50.269195556640625,56.29999923706055,58.400001525878906,55.279998779296875,56.59000015258789,91925
2010-02-15,49.920982360839844,55.90999984741211,56.9900016784668,55.20000076293945,56.0,49345
2010-02-16,49.46560287475586,55.400001525878906,56.20000076293945,55.0,56.0099983215332,35905
2010-02-17,48.98344802856445,54.86000061035156,56.58000183105469,54.599998474121094,56.189998626708984,104065
2010-02-18,48.53701400756836,54.36000061035156,56.18000030517578,54.099998474121094,55.20000076293945,35725
2010-02-19,47.742340087890625,53.470001220703125,55.0,52.400001525878906,54.20000076293945,16355
2010-02-22,48.465576171875,54.279998779296875,54.470001220703125,53.099998474121094,53.400001525878906,24320
2010-02-23,49.126312255859375,55.02000045776367,56.52000045776367,54.20000076293945,54.400001525878906,38325
2010-02-24,50.76921081542969,56.86000061035156,58.9900016784668,51.45000076293945,54.400001525878906,293530
2010-02-25,50.84063720703125,56.939998626708984,57.79999923706055,55.79999923706055,57.599998474121094,68805
2010-02-26,49.072723388671875,54.959999084472656,58.54999923706055,54.400001525878906,58.0,123280
2010-03-02,48.73344039916992,54.58000183105469,56.18000030517578,53.150001525878906,53.150001525878906,40245
2010-03-03,48.804866790771484,54.65999984741211,55.72999954223633,54.220001220703125,55.72999954223633,85095
