Date,Adj Close,Close,High,Low,Open,Volume
,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS
2010-01-04,129.76315307617188,142.85000610351562,144.8000030517578,140.0500030517578,140.5,1042676
2010-01-05,129.6268768310547,142.6999969482422,144.75,141.75,144.6999969482422,551413
2010-01-06,132.71539306640625,146.10000610351562,147.0,142.3000030517578,143.89999389648438,995851
2010-01-07,129.71774291992188,142.8000030517578,147.0,142.0,146.0,580803
2010-01-08,129.26351928710938,142.3000030517578,144.9499969482422,141.8000030517578,143.1999969482422,382686
2010-01-11,129.4451904296875,142.5,143.6999969482422,141.0500030517578,143.0500030517578,579567
2010-01-12,127.1288070678711,139.9499969482422,143.89999389648438,139.0,143.89999389648438,309096
2010-01-13,124.63076782226562,137.1999969482422,142.0,135.9499969482422,139.0,568627
2010-01-14,124.9941177368164,137.60000610351562,140.85000610351562,136.6999969482422,138.5,517203
2010-01-15,128.76393127441406,141.75,144.35000610351562,139.39999389648438,139.39999389648438,1864430
2010-01-18,129.6268768310547,142.6999969482422,144.64999389648438,139.89999389648438,141.5,691462
2010-01-19,134.4413299560547,148.0,149.6999969482422,143.0,144.89999389648438,1543371
2010-01-20,137.98403930664062,151.89999389648438,154.6999969482422,149.5,150.10000610351562,2238831
2010-01-21,133.71463012695312,147.1999969482422,155.9499969482422,145.0,152.0,1115507
2010-01-22,136.80316162109375,150.60000610351562,152.0,142.0,145.0,762809
2010-01-25,131.5799102783203,144.85000610351562,152.0,142.60000610351562,151.0,660970
2010-01-27,127.31050109863281,140.14999389648438,143.89999389648438,136.75,143.0,1038743
2010-01-28,132.2611846923828,145.60000610351562,147.0,140.5500030517578,142.0,793199
2010-01-29,134.35049438476562,147.89999389648438,148.89999389648438,139.3000030517578,142.0,904441
2010-02-01,134.94093322753906,148.5500030517578,149.89999389648438,145.0,147.6999969482422,417317
2010-02-02,137.66612243652344,151.5500030517578,153.64999389648438,149.10000610351562,150.0,877414
2010-02-03,141.93553161621094,156.25,159.64999389648438,152.5,152.5,2106019
2010-02-04,140.84547424316406,155.0500030517578,156.5,153.9499969482422,156.5,955491
2010-02-05,132.71539306640625,146.10000610351562,152.8000030517578,143.35000610351562,150.0,898213
2010-02-08,134.75926208496094,148.35000610351562,151.6999969482422,144.0,151.6999969482422,533258
2010-02-09,137.16647338867188,151.0,152.8000030517578,145.75,147.8000030517578,751119
2010-02-10,136.3943634033203,150.14999389648438,153.0,149.0500030517578,152.0,395238
2010-02-11,136.121826171875,149.85000610351562,151.85000610351562,149.10000610351562,151.0,205608
2010-02-15,136.121826171875,149.85000610351562,152.0,148.9499969482422,149.85000610351562,204309
2010-02-16,137.21192932128906,151.0500030517578,151.9499969482422,149.5500030517578,150.3000030517578,319679
2010-02-17,139.70997619628906,153.8000030517578,156.3000030517578,151.0500030517578,152.60000610351562,584525
2010-02-18,139.66455078125,153.75,154.89999389648438,151.60000610351562,152.10000610351562,607890
2010-02-19,141.2996368408203,155.5500030517578,156.9499969482422,151.35000610351562,151.35000610351562,632934
2010-02-22,140.43670654296875,154.60000610351562,160.8000030517578,154.0,158.5,342134
2010-02-23,134.94093322753906,148.5500030517578,154.60000610351562,147.14999389648438,154.60000610351562,1220032
2010-02-24,136.2126922607422,149.9499969482422,151.10000610351562,146.3000030517578,148.0,723246
2010-02-25,133.532958984375,147.0,151.4499969482422,146.14999389648438,151.4499969482422,307061
2010-02-26,135.25889587402344,148.89999389648438,152.89999389648438,146.14999389648438,147.0,677344
2010-03-02,138.5290985107422,152.5,155.89999389648438,149.60000610351562,150.60000610351562,1168171
2010-03-03,149.70223999023438,164.8000030517578,167.3000030517578,152.6999969482422,153.9499969482422,2258245
2010-03-04,144.93319702148438,159.5500030517578,168.39999389648438,158.10000610351562,166.0,1517950
2010-03-05,145.11488342285156,159.75,162.9499969482422,157.85000610351562,160.0500030517578,857824
2010-03-08,144.43357849121094,159.0,161.9499969482422,157.5500030517578,161.39999389648438,551828
2010-03-09,141.1179962158203,155.35000610351562,161.0,155.0,161.0,317483
2010-03-10,148.02169799804688,162.9499969482422,163.64999389648438,156.35000610351562,157.0,1022096
2010-03-11,141.2996368408203,155.5500030517578,163.8000030517578,154.60000610351562,163.5,691260
2010-03-12,147.24961853027344,162.10000610351562,162.6999969482422,156.5,156.75,1126288
2010-03-15,145.65994262695312,160.35000610351562,161.4499969482422,158.0,160.10000610351562,250539
2010-03-16,150.3380889892578,165.5,167.0,159.0,159.0,983978
2010-03-17,152.60906982421875,168.0,169.6999969482422,164.60000610351562,167.0500030517578,1147875
2010-03-18,154.4258575439453,170.0,171.1999969482422,165.25,169.0,1357236
2010-03-19,158.28652954101562,174.25,174.89999389648438,167.6999969482422,170.0,1241408
2010-03-22,152.65452575683594,168.0500030517578,171.9499969482422,165.0,167.75,1056589
2010-03-23,153.8808135986328,169.39999389648438,172.5,167.0,169.10000610351562,603425
2010-03-25,155.10711669921875,170.75,171.9499969482422,169.0,169.39999389648438,294993
2010-03-26,161.9200439453125,178.25,179.0,169.6999969482422,169.6999969482422,894845
2010-03-29,163.28262329101562,179.75,185.4499969482422,177.5500030517578,180.9499969482422,2037744
2010-03-30,155.6975860595703,171.39999389648438,183.4499969482422,167.1999969482422,181.0,776190
2010-03-31,154.5166778564453,170.10000610351562,175.8000030517578,168.85000610351562,173.5,438401
2010-04-01,160.9662628173828,177.1999969482422,177.89999389648438,171.0,171.0,431262
2010-04-05,164.23643493652344,180.8000030517578,182.89999389648438,177.10000610351562,177.10000610351562,1308907
2010-04-06,163.82766723632812,180.35000610351562,182.89999389648438,179.10000610351562,182.39999389648438,1212356
2010-04-07,163.50975036621094,180.0,184.60000610351562,179.14999389648438,180.8000030517578,541218
2010-04-08,162.1471710205078,178.5,181.9499969482422,176.9499969482422,177.75,356217
2010-04-09,162.41966247558594,178.8000030517578,181.6999969482422,178.5,179.0,258720
2010-04-12,160.8754425048828,177.10000610351562,181.0,176.0,179.0,232898
2010-04-13,164.55435180664062,181.14999389648438,182.35000610351562,176.3000030517578,178.4499969482422,451685
2010-04-15,163.46429443359375,179.9499969482422,183.6999969482422,178.25,183.0,552758
2010-04-16,160.19412231445312,176.35000610351562,184.0,174.14999389648438,182.0,2936842
2010-04-19,165.4173583984375,182.10000610351562,184.25,172.1999969482422,180.0,2275598
2010-04-20,167.27957153320312,184.14999389648438,185.9499969482422,179.64999389648438,183.0,1152243
2010-04-21,176.09091186523438,193.85000610351562,194.89999389648438,183.6999969482422,184.89999389648438,2206666
2010-04-22,172.5027618408203,189.89999389648438,196.4499969482422,189.0,193.0,724389
2010-04-23,172.77528381347656,190.1999969482422,191.8000030517578,189.0500030517578,190.5,1342164
2010-04-26,174.2287139892578,191.8000030517578,194.75,191.0,192.39999389648438,319104
2010-04-27,173.5019989013672,191.0,192.89999389648438,188.89999389648438,192.89999389648438,223929
2010-04-28,169.68675231933594,186.8000030517578,189.5,185.5500030517578,186.35000610351562,466426
2010-04-29,175.00082397460938,192.64999389648438,193.75,186.60000610351562,188.0,524902
2010-04-30,176.1363067626953,193.89999389648438,195.0,191.60000610351562,194.1999969482422,445536
2010-05-03,172.23028564453125,189.60000610351562,196.75,188.25,191.5500030517578,380979
2010-05-04,173.41114807128906,190.89999389648438,193.3000030517578,188.64999389648438,193.3000030517578,367751
2010-05-05,174.00161743164062,191.5500030517578,192.39999389648438,184.60000610351562,187.5,475360
2010-05-06,170.45887756347656,187.64999389648438,194.35000610351562,186.5500030517578,192.0,618201
2010-05-07,163.05551147460938,179.5,186.9499969482422,178.25,184.6999969482422,547166
2010-05-10,165.00857543945312,181.64999389648438,186.60000610351562,180.25,180.60000610351562,645467
2010-05-11,163.64599609375,180.14999389648438,185.39999389648438,178.6999969482422,183.6999969482422,411451
2010-05-12,168.05166625976562,185.0,185.89999389648438,177.0,179.5500030517578,558173
2010-05-13,168.23336791992188,185.1999969482422,187.35000610351562,181.25,186.39999389648438,366865
2010-05-14,167.7337188720703,184.64999389648438,185.39999389648438,182.8000030517578,185.0,236616
2010-05-17,163.55514526367188,180.0500030517578,185.89999389648438,174.10000610351562,182.0,565967
