Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Return %
MMTC,2020-12-14,2020-12-21,25.950000762939453,21.950000762939453,-15.414257735639868
RENUKA,2020-12-09,2021-01-21,12.399999618530272,10.350000381469728,-16.53225242037163
ESCORTS,2020-11-17,2021-01-29,1422.300048828125,1205.699951171875,-15.228861015276852
LOKESHMACH,2021-01-06,2021-02-16,42.95000076293945,36.45000076293945,-15.13387633186889
CENTRALBK,2021-02-18,2021-02-22,24.0,19.450000762939453,-18.958330154418945
J%26KBANK,2021-02-08,2021-03-18,31.049999237060547,26.299999237060547,-15.297906978144182
SCHNEIDER,2021-02-19,2021-03-18,112.75,93.0500030517578,-17.472281107088428
MENONBE,2021-03-02,2021-03-18,63.150001525878906,53.25,-15.676961657430654
NOIDATOLL,2021-03-08,2021-03-18,8.300000190734863,7.050000190734863,-15.060240617769526
PFC,2021-02-16,2021-03-25,106.95999908447266,90.87999725341795,-15.033659282621503
EICHERMOT,2020-11-17,2021-04-19,2541.699951171875,2370.35009765625,-6.741545296746077
KOTAKBANK,2020-11-18,2021-04-19,366.1199951171875,340.1499938964844,-7.093303170287291
PCJEWELLER,2020-12-10,2021-04-19,2.5850000381469727,2.200000047683716,-14.893616432564528
TTL,2020-12-16,2021-04-19,4.744999885559082,4.199999809265137,-11.48577638437035
SHANTI,2021-01-25,2021-06-01,24.25,22.5,-7.216494845360821
ADANIGREEN,2020-11-17,2021-07-05,1058.449951171875,964.5499877929688,-8.871459937708327
WALCHANNAG,2021-05-20,2021-07-12,80.69999694824219,66.5999984741211,-17.472117729030746
HDFCLIFE,2020-11-17,2021-07-22,670.0499877929688,662.0999755859375,-1.1864804644228455
IDFCFIRSTB,2021-01-12,2021-08-05,47.150001525878906,47.79999923706055,1.3785741042338762
SUVEN,2020-12-08,2021-08-10,67.94560241699219,72.69027709960938,6.98304895951678
CENTRALBK,2021-06-21,2021-08-11,24.200000762939453,20.200000762939453,-16.528925098736813
LOKESHMACH,2021-04-13,2021-08-16,45.650001525878906,38.20000076293945,-16.319825879339923
ADANIPOWER,2021-03-04,2021-08-17,14.270000457763672,15.989999771118164,12.053253385978113
SCHNEIDER,2021-07-29,2021-08-17,142.5500030517578,118.8499984741211,-16.625748207828238
MANAKCOAT,2020-12-11,2021-08-18,6.300000190734863,11.449999809265137,81.74602321606521
SETCO,2021-02-05,2021-08-18,15.649999618530272,16.799999237060547,7.348240553109187
SOUTHBANK,2021-05-12,2021-08-18,11.300000190734863,9.550000190734863,-15.486725402313406
SCI,2020-12-07,2021-08-20,71.30000305175781,96.0999984741211,34.78260078665154
SJVN,2021-02-12,2021-08-20,27.299999237060547,25.950000762939453,-4.945049493951748
BHEL,2021-02-25,2021-08-20,47.150001525878906,51.650001525878906,9.54400817469776
MOTHERSON,2020-12-01,2021-08-23,42.949676513671875,54.61603164672851,27.162847499777932
JPASSOCIAT,2020-12-07,2021-08-23,4.800000190734863,8.350000381469727,73.95833436813615
HINDCOPPER,2020-12-14,2021-08-23,53.04999923706055,110.6500015258789,108.57682020206174
